93;Outlander;11.08.2020-24.08.2020;25.08.2020-07.09.;08.09.2020;55
94;Picard;25.08.2020-07.09.2020;08.09.2020-21.09.2020;22.09.2020;56
95;Quantico;08.09.2020-21.09.2020;22.09.2020-05.10.2020;06.10.2020;57
96;Rick&Morty;22.09.2020-05.10.2020;06.10.2020-19.10.2020;20.10.2020;58
97;Simpsons;06.10.2020-19.10.2020;20.10.2020-02.11.2020;03.11.2020;59
